Job Title,Company,Date,Type,Location,Skills,Job Link
Senior Financial Planning Analyst,Tamweely,posted 1 month ago,Full Time,"Downtown, Cairo","Accounting/Finance, Analyst/Research, CFA, Accounting, Financial Analysis, Finance, analytical skills, Financial, Financial Management",http://wuzzuf.net/jobs/p/58kz8szyecve-senior-financial-planning-analyst-tamweely-cairo-egypt
Senior Business Analyst,Egabi FSI,posted 1 month ago,Full Time,"Sheraton, Cairo","IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Business Analyst, Computer Science, Business Analysis, Information Technology (IT), English, Testing, Analysis, business, analytical, Communication skills, product owner",http://wuzzuf.net/jobs/p/cfrm2qyuzx0j-senior-business-analyst-egabi-fsi-cairo-egypt
SAP MM Analyst,MK Enterprise,posted 1 month ago,Full Time,"Downtown, Cairo","IT/Software Development, Engineering - Telecom/Technology, SAP MM configuration, Procurement process management, Inventory management, Business process analysis, SAP integration, Troubleshooting and problem-solving, User training and support, Documentation, Project management, Communication",http://wuzzuf.net/jobs/p/oynzbmxcfxwv-sap-mm-analyst-mk-enterprise-cairo-egypt
Feasibility Study Analyst-Real Estate,EBNY developments,posted 2 months ago,Full Time,"Heliopolis, Cairo","Accounting/Finance, Analyst/Research, Financial Modeling, Market Research, Data Analysis, Real Estate Valuation, Project Management, Report Writing, Risk Assessment, Stakeholder Communication",http://wuzzuf.net/jobs/p/tlkwkfxhyjjh-feasibility-study-analyst-real-estate-ebny-developments-cairo-egypt
Data Analyst,YO IT Consulting,posted 20 days ago,Full Time,"Dubai, United Arab Emirates","IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), SQL, Microsoft Office, Microsoft Excel, Data Analyst, Research, Business Analysis, Economics, Engineering, Python, Computer Skills, Data, English, Tableau, Commerce, Finance, Statistics",http://wuzzuf.net/jobs/p/g/nejykylv2pia-data-analyst-yo-it-consulting-dubai-united-arab-emirates
Data Analyst (0 Experience Required),Peroptyx,posted 22 days ago,Part Time,"Riyadh, Saudi Arabia","IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), SQL, Microsoft Office, Microsoft Excel, Data Analyst, Research, Business Analysis, Economics, Engineering, Python, Computer Skills, Data, English, Tableau, Commerce, Finance, Statistics",http://wuzzuf.net/saudi/jobs/p/g/w0yv3i0r3gwf-data-analyst-0-experience-required-peroptyx-riyadh-saudi-arabia
Business Analyst,Electro Pi,posted 1 month ago,Full Time,"Maadi, Cairo","IT/Software Development, Analyst/Research, Business Analysis, Requirements Gathering, Process Improvement & Workflow Optimization, Agile & Scrum Methodologies, Stakeholder Management, Technical Specification & System Analysis, Familiarity with AI / Machine Learning concepts, Product Requirements Definition for Tech/AI projects, JIRA & Confluence, Communication & Presentation Skills, Problem Solving & Critical Thinking",http://wuzzuf.net/jobs/p/wludgyeoz23u-business-analyst-electro-pi-cairo-egypt
Entry Level Data Analyst (Remote),PulseMediaNL (SWANA REGI,posted 22 days ago,Full Time,"Makkah, Saudi Arabia","Accounting/Finance, IT/Software Development, Analyst/Research, microsoft office, information technology (it), computer science, accounting, analysis, microsoft excel, data analysis, sql, management, business, python, excel",http://wuzzuf.net/saudi/jobs/p/g/ijgqunanf1uw-entry-level-data-analyst-remote-pulsemedianl-swana-region-makkah-saudi-arabia
Entry Level Data Analyst (Remote),PulseMediaNL (LATAM REGI,posted 22 days ago,Full Time,"Riyadh, Saudi Arabia","Accounting/Finance, IT/Software Development, Analyst/Research, microsoft office, information technology (it), computer science, accounting, analysis, microsoft excel, data analysis, sql, management, business, python, excel",http://wuzzuf.net/saudi/jobs/p/g/9yn6rkpmoczq-entry-level-data-analyst-remote-pulsemedianl-latam-region-riyadh-saudi-arabia
Financial Analyst,المؤسسة المصرية للتمويل,posted 2 months ago,Full Time,"Dokki, Giza","Accounting/Finance, Analyst/Research, completed a Credit Course, interpreting financial statements, Previous experience in banking or microfinance is a plus, Report Writing, Financial Analysis, Attention to Detail, Financial Modeling, Team Collaboration, Budgeting and Forecasting, Excel (Advanced), Data Analysis, ERP Systems, Presentation Skills",http://wuzzuf.net/jobs/p/heshipjjy3ps-financial-analyst-almoss-almsry-lltmoyl-eaf-giza-egypt
